p2,./Annotations\0001.xml,dividing
p2,./Annotations\0001.xml,medium-polygonal
p2,./Annotations\0001.xml,small-polygonal
p2,./Annotations\0001.xml,dividing
p2,./Annotations\0001.xml,small-polygonal
p2,./Annotations\0001.xml,medium-spread
p2,./Annotations\0001.xml,small-spread
p2,./Annotations\0003.xml,medium-spread
p2,./Annotations\0003.xml,medium-spread
p2,./Annotations\0003.xml,small-spread
p2,./Annotations\0003.xml,dividing
p2,./Annotations\0003.xml,dividing
p2,./Annotations\0004.xml,dividing
p2,./Annotations\0004.xml,dividing
p2,./Annotations\0004.xml,small-polygonal
p2,./Annotations\0005.xml,dividing
p2,./Annotations\0005.xml,small-spread
p2,./Annotations\0005.xml,small-polygonal
p2,./Annotations\0005.xml,large-spread
p2,./Annotations\0005.xml,small-polygonal
p2,./Annotations\0005.xml,medium-polygonal
p2,./Annotations\0005.xml,medium-spread
p2,./Annotations\0005.xml,small-spread
p2,./Annotations\0005.xml,large-polygonal
p2,./Annotations\0007.xml,dividing
p2,./Annotations\0007.xml,medium-spread
p2,./Annotations\0007.xml,large-spread
p2,./Annotations\0008.xml,small-polygonal
p2,./Annotations\0008.xml,small-polygonal
p2,./Annotations\0008.xml,small-polygonal
p2,./Annotations\0008.xml,small-polygonal
p2,./Annotations\0008.xml,dividing
p2,./Annotations\0008.xml,dividing
p2,./Annotations\0013.xml,dividing
p2,./Annotations\0013.xml,dividing
p2,./Annotations\0013.xml,small-polygonal
p2,./Annotations\0015.xml,medium-spread
p2,./Annotations\0015.xml,dividing
p2,./Annotations\0015.xml,medium-spread
p2,./Annotations\0015.xml,medium-polygonal
p2,./Annotations\0015.xml,small-spread
p2,./Annotations\0017.xml,small-spread
p2,./Annotations\0017.xml,small-polygonal
p2,./Annotations\0019.xml,dividing
p2,./Annotations\0019.xml,dividing
p2,./Annotations\0019.xml,small-polygonal
p2,./Annotations\0019.xml,small-polygonal
p2,./Annotations\0019.xml,small-spread
